Date,Time,FW_Ver,Type,SN,Action,FW_Ver,Type,SN,Sig 2 Check,Current Check,Current Value (mA),I2C Check,Heater Check,Heater Current (mA),Thermistor Check,Thermistor Value (Degrees C),Heater Time Check,Heater Time (ms),Stepper Impedance Check,Stepper Impedance - A (Ohm),Stepper Impedance - B (Ohm)Status Code,Error State,Error I2C,Error Timeout,Error Switch,Error Thermal,Power Cycles 1,Power Cycles 2,Motor Actuations 1,Motor Actuations 2,Switch Actuations 1,Switch Actautions 2,Solenoid Actuations 1,Solenoid Actuations 2
Date,Time,FW_Ver,Type,SN,Action,FW_Ver,Type,SN,Sig 2 Check,Current Check,Current Value (mA),I2C Check,Motor Check,Motor Current (mA),Actuate Down Check (ms),Actuate Up Check (ms),Solenoid Check,Solenoid Current (mA),,Status Code,Error State,Error I2C,Error Timeout,Error Switch,Error Thermal,Power Cycles 1,Power Cycles 2,Motor Actuations 1,Motor Actuations 2,Switch Actuations 1,Switch Actautions 2,Solenoid Actuations 1,Solenoid Actuations 2
Thu Apr 21 2016,15:15:15,0x00,0x0f,0xffff,read,,,,,,,,,,,,,,,,,0xFF,0x40,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
Thu Apr 21 2016,15:15:20,0x00,0x0f,0xffff,program,0x00,0x0f,0xffff,,,,,,,,,,,,,,0xFF,0x40,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
Thu Apr 21 2016,15:16:04,0x00,0x0f,0xffff,test,0x00,0x0f,0xffff,Pass,Pass,10.0,Pass,Pass,1784.6484375,Fail,36,Fail,24.3690879345,Fail,4.6831634227,5.00757042254,0xFF,0x40,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
Thu Apr 21 2016,15:24:31,0x00,0x0f,0xffff,read,,,,,,,,,,,,,,,,,0xFF,0x40,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
Thu Apr 21 2016,15:24:37,0x00,0x0f,0xffff,program,0x00,0x0f,0xffff,,,,,,,,,,,,,,0xFF,0x40,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
Thu Apr 21 2016,15:25:09,0x00,0x0f,0xffff,test,0x00,0x0f,0xffff,Pass,Pass,75.1794433594,Pass,Pass,1756.0,Fail,47,Fail,25.1099438667,Fail,4.66478274459,5.00757042254,0xFF,0x40,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
Thu Apr 21 2016,15:25:31,0x00,0x0f,0xffff,read,,,,,,,,,,,,,,,,,0xFF,0x40,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
Thu Apr 21 2016,15:25:36,0x00,0x0f,0xffff,program,0x00,0x0f,0xffff,,,,,,,,,,,,,,0xFF,0x40,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
Thu Apr 21 2016,15:25:44,0x00,0x0f,0xffff,test,0x00,0x0f,0xffff,Pass,Pass,75.0,Pass,Pass,1746.0,Pass,107,Pass,0.0297629833221,Fail,4.66765629407,5.00757042254,0xFF,0x40,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
